No,Tree ,Specimens,Family,Subfamily Morphology,Subfamily Molecular ,Genus,Species,Lo10(EQ),EQ,Log10(Brain mass [g]),SST,Log10(Body mass[g]),Log10(Length[cm]),Diet ,ECOLOGY,Biosonar [Jensen et al.2018],Cs,Species2,KhZmin,KhZmax,Prey Mean,Prey min,Prey Max
1,Delphinus tropicalis,Delphinus tropicalis,Delphinidae,Delphininae,Delphininae,Delphinus,tropicalis,NA,NA,NA,Warm,5.066325925,2.342422681,Fish,Semipelagic,BB,2.844567658,Dt,NA,NA,,,
2,Delphinus delphis,Delphinus delphis,Delphinidae,Delphininae,Delphininae,Delphinus,delphis,0.629409599,4.26,2.854069089,Temperate,5.066325925,2.361727836,Fish,Semipelagic,BB,2.788480288,Dd,NA,NA,1.69620897,0.477121255,2.369215857
3,Delphinus capensis,Delphinus capensis,Delphinidae,Delphininae,Delphininae,Delphinus,capensis,NA,NA,NA,Temperate,5.066325925,2.342422681,Fish,Semipelagic,BB,2.666831249,Dc,NA,NA,1.826434765,1.394451681,2.190331698
4,Tursiops truncatus,Tursiops truncatus,Delphinidae,Delphininae,Delphininae,Tursiops,truncatus,0.602059991,4,3.190303678,Temperate,5.568201724,2.374748346,Fish,Semipelagic,BB,2.894127513,Tt,NA,NA,1.914959865,1.184691431,2.477121255
5,Tursiops aduncus,Tursiops aduncus,Delphinidae,Delphininae,Delphininae,Tursiops,aduncus,NA,NA,NA,Warm,5.274157849,2.385606274,Fish,Semipelagic,BB,2.860646979,Ta,53,141,1.896893486,1,2.361727836
6,Stenella coeruleoalba,Stenella coeruleoalba,Delphinidae,Delphininae,Delphininae,Stenella,coeruleoalba,0.468199586,2.939,2.944487607,Temperate,5.156851901,2.361727836,Fish,Semipelagic,BB,2.841754987,Sco,NA,NA,1.738364776,0.397940009,2.672097858
7,Stenella frontalis,Stenella frontalis,Delphinidae,Delphininae,Delphininae,Stenella,frontalis,NA,NA,NA,Warm,5.102090526,2.328379603,Fish,Semipelagic,BB,2.773932746,Sfr,NA,NA,1.871068513,1.139879086,2.369215857
8,Stenella longirostris,Stenella longirostris,Delphinidae,Delphininae,Delphininae,Stenella,longirostris,0.51054501,3.24,2.733237401,Warm,4.705436047,2.292256071,Fish,Semipelagic,BB,2.798012799,Sl,NA,NA,1.610421789,0.462397998,2.477121255
9,Lagenodelphis hosei,Lagenodelphis hosei,Delphinidae,Delphininae,Delphininae,Lagenodelphis,hosei,NA,NA,NA,Warm,5.301029996,2.431363764,Fish,Semipelagic,BB,2.835105572,Lh,NA,NA,1.644023116,0.643452676,2.369215857
10,Stenella attenuata,Stenella attenuata,Delphinidae,Delphininae,Delphininae,Stenella,attenuata,NA,NA,2.852571479,Warm,5.039414119,2.324282455,Fish,Semipelagic,BB,2.817239733,Sa,NA,NA,1.601144723,0.653212514,2.477121255
11,Sousa teuszii,Sousa teuszii,Delphinidae,Stenoninae,Delphininae,Sousa,teuszii,NA,NA,NA,Warm,4.886208624,2.371067862,Fish,Shallow,BB,2.871794442,St,NA,NA,2.103803721,1.653212514,2.361727836
12,Sousa chinensis,Sousa chinensis,Delphinidae,Stenoninae,Delphininae,Sousa,chinensis,NA,NA,NA,Temperate,5.26599637,2.387389826,Fish,Shallow,BB,2.879566494,Sch,97,117,2.130172889,1.230448921,2.672097858
13,Sousa plumbea,Sousa plumbea,Delphinidae,Stenoninae,Delphininae,Sousa,plumbea,NA,NA,NA,Temperate,5.062205809,2.387389826,Fish,Shallow,BB,2.908840317,Sp,NA,NA,1.974386071,1.301029996,2.397940009
14,Sotalia fluviatilis,Sotalia fluviatilis,Delphinidae,Stenoninae,Stenoninae,Sotalia,fluviatilis,0.658964843,4.56,2.711807229,Warm,4.544068044,2.181843588,Fish,Shallow,BB,2.772584206,Sf,NA,NA,1.790016936,1.079181246,2.369215857
15,Steno bredanensis,Steno bredanensis,Delphinidae,Stenoninae,Stenoninae,Steno,bredanensis,0.696705781,4.974,3.162534537,Warm,5.086359831,2.40654018,Fish,Shallow,BB,2.921328612,Sb,NA,NA,1.885560758,0.707570176,2.369215857
16,Feresa attenuata,Feresa attenuata,Delphinidae,Globicephalinae,Globicephalinae,Feresa,attenuata,NA,NA,3.058520921,Warm,5.273001272,2.36361198,Fish/Mammal,Deep,BB,2.792673906,Fa,40,100,1.756636108,1.230448921,2.146128036
17,Globicephala melas,Globicephala melas,Delphinidae,Globicephalinae,Globicephalinae,Globicephala,melas,0.378397901,2.39,3.426998959,CT,6.006466042,2.709269961,Squid,Semipelagic,BB,3.062739353,Gm,33,94,1.834968945,0.477121255,2.477121255
18,Globicephala macrorhynchus,Globicephala macrorhynchus,Delphinidae,Globicephalinae,Globicephalinae,Globicephala,macrorhynchus,0.569841899,3.714,3.428006756,Temperate,6.356981401,2.680335513,Squid,Deep,BB,3.045038891,Gma,NA,NA,1.911324101,0.653212514,2.301029996
19,Peponocephala electra,Peponocephala electra,Delphinidae,Globicephalinae,Globicephalinae,Peponocephala,electra,NA,NA,3.151676231,Warm,5.337459261,2.409933123,Squid,Semipelagic,BB,2.868609982,Pe,NA,NA,1.771320182,1.113943352,2.079181246
20,Pseudorca crassidens,Pseudorca crassidens,Delphinidae,Globicephalinae,Globicephalinae,Pseudorca,crassidens,0.605305046,4.03,3.590332371,Temperate,6.161368002,2.704150517,Fish/Mammal,Semipelagic,BB,3.022756458,Pc,26,79,1.991637384,1.278753601,2.397940009
21,Grampus griseus,Grampus griseus,Delphinidae,Delphininae,Globicephalinae,Grampus,griseus,0.624282096,4.21,3.328736272,Temperate,5.698970004,2.563481085,Squid,Semipelagic,BB,2.944302042,Gg,42,110,1.658263983,0.397940009,2.255272505
22,Orcaella brevirostris,Orcaella brevirostris,Delphinidae,Orcaellinae,Orcininae,Orcaella,brevirostris,NA,NA,NA,Warm,5.070037867,2.439332694,Fish,Shallow,BB,2.732603303,Ob,65,125,2.022142745,1.544068044,2.477121255
23,Orcaella heinsohni,Orcaella heinsohni,Delphinidae,Orcaellinae,Orcininae,Orcaella,heinsohni,NA,NA,NA,Warm,4.941262909,2.361727836,Fish,Shallow,BB,2.735070562,Oh,NA,NA,2.090786928,1.612783857,2.672097858
24,Lissodelphis peronii,Lissodelphis peronii,Delphinidae,Lissodelphininae,Lissodelphininae,Lissodelphis,peronii,NA,NA,NA,Cold,4.788875116,2.472756449,Fish,Semipelagic,BB,2.820791828,Lip,NA,NA,1.890065186,1.301029996,2.397940009
